id	top_words
0	sxsw,november,hope,watch,galaxy,strange,hey,ball,bout,wrong
1	rock,roll,dads,sunny,gnar,field,drawing,smiles,taste,xxx
2	viola,soul,progress,q2,writing,inside,beach,singing,sweet,chilling
3	blues,rock,roots,folk,cover,keys,black,black keys,roll,gritty
4	indie,love,pop,road,chill,june,winter,april,bb,lips
5	brighten,camping,mothers,neighbor,salt,meg,finals,final,created,rip
6	chill,driving,soak,edits,alternative,star gazing,slow,star,gazing,road
7	january,main,school,fre,mar,newish,middle,recent,gym,goodness
8	essentials,falling,world,chilling,life,melt,easy,fusion,jose,stop
9	chill,share,sit,lil,ultimate,relax,homework,slow,grey,repeat
10	april,alternative,person,art,tumblr,edm,volume,seth,klance,roadtrip
11	idc,guilty,june,upbeat,car,bops,bop,title,white,guilty pleasure
12	party,pumped,dance,spring,break,happy,parties,workout,spring break,mood
13	chill,jon,indie,ayy,electronic,aesthetic,vibe,bellion,chillstep,jon bellion
14	december,explore,bored,deserves,alive,erik,genres,fun,missed,scary
15	indie,life,indie rock,rock,sick,happy,september,euphoria,alive,hate
16	miss,home,cali,road,closer,overplayed,friend,pch,ari,school
17	beach,happy,pop country,road,world,walks,crazy,vibrations,paradise,girl
18	girl,world,hoe,anthems,pop,hoe anthems,party,power,women,run
19	run,dance,upbeat,mood,running,dance party,workout,pump,max,party
20	car,happy,zone,mind,simp,litty,titty,litty titty,fun,ground
21	girl,pt,control,august,god damn,totally,feelings,god,damn,chill electronic
22	chill,love,mellow,mind,indie,wind,light,yoga,heart,deep
23	vibe,sink,public,relax,emotion,happy sad,jordan,soft,inside,skin
24	love,wedding,dinner,evening,jazz,mellow,background,mood,classics,smooth
25	party,rap,hype,bangers,turnt,hip,hop,litty,hip hop,throw
26	rock,classic,classic rock,classics,oldies,dad,love,roll,70s,60s
27	grad party,rachel,chris,friendly,faith,friday,created,faces,note,family friendly
28	blackbear,bear,chill,dad,reference,ass,listened,season,chillen,type
29	chill,sad,love,feelings,vibe,mood,slow,vibin,rap,chill chill
30	bops,september,june,seventeen,updated,heard,blend,august,genres,pop
31	adventure,stop,lord,english,general,pump,global,partner,dying,starbucks
32	hope,vibe,vibin,hype,experimental,pop,special,hoco,lov,event
33	love,august,travel,experience,casual,california,aka,lamar,kendrick lamar,dirty
34	acoustic,indie,chill,folk,sad,rainy,morning,slow,life,autumn
35	cozy,happy,mood,discoveries,october,running,morning,women,upbeat,small
36	acoustic,slow,love,calm,mood,hot,happy mood,folk,universe,chocolate
37	october,winter,happy,september,tbh,leave,yoga,break,upbeat,past
38	lot,eclectic,driving,dad,deftones,add,version,welp,hurts,hey
39	chill,love,break,disappoint,poetry,february,chill pop,album,pop country,bad
40	sad,chill,sleep,cry,calming,jess,rainy,art,sky,zone
41	car,mood,company,august,catchy,vibin,edgy,guaranteed,boogie woogie,blowing
42	sex,vibin,groovy,hey,smith,tryna,august,likes,genre,hope
43	work,stay,damn,ppl,fun fun,fun,february,repeat,cry,hear
44	covers,acoustic,cover,live,acoustic covers,chill,performances,versions,sessions,unplugged
45	chill chill,life,sax,crunk,september,coolest,grooves,tea,chill,heard
46	chill,love,mellow,smooth,slow,vibe,mood,school,calm,studying
47	honor,bangerz,2k17,jenny,rocks,roadie,cold,boy bands,multiple,se
48	chill,rap,party,luis,bump,chilling,chillin,picks,matter,stole
49	pop,tv,grab,melancholia,april,alternative,hear,josie,yup,rain
50	chill,indie,sounds,love,school,pretty,nostalgia,high,end,alternative
51	chill,tricky,yea,selection,beach house,trip hop,featured,slowly,hands,idk
52	reggae,beach,marley,bob,bob marley,island,relax,sun,dub,mind
53	single,basketball,july,bbq,selena,relax,gambino,childish,fun,march
54	fun,chill,bye,work,chill vibe,harder,chillin,morning,daddy,nuggets
55	classics,road,car,trip,road trip,alternative,living,staring,ju,flies
56	rap,logic,chill,hip,hop,hip hop,life,litty,sum,coupe
57	oldies,soul,60s,goodies,50s,love,classic,rock,jazz,classics
58	study,drown,ocean,homework,studying,esketit,eras,homesick,fans,event
59	fluff,road,folk,sample,bliss,yah,imagine,cats,chloe,flowers
60	party,dance,happy,room,car,dance party,birthday,alongs,wedding,classic
61	happy,miss,gay,cali,boy,flower,sunflower,heads,happy happy,world
62	update,chill,rocks,dear,emotions,miss,freaking,jack,mood,breezy
63	rock,girl,cover,women,power,indie,strong,90s,grl,grl pwr
64	ed,love,sheeran,ed sheeran,chill,life,acoustic,slow,stressed,crying
65	worldwide united,countries,destinations,access,unitedhub,countries worldwide,flyerfriendly,united,airline,inspired
66	oldies,80s,classics,love,70s,rock,vol,goodies,school,guardians
67	girl,ilysb,lyrics,boy,xoxo,4u,pretty,pretty girl,level,hopeless romantic
68	happy,chill,love,wedding,hey,nostalgia,life,mom,chillax,worry
69	background,spring,hear,upbeat,mellow,happy hour,weird,hour,discover,basically
70	coldplay,imagine,imagine dragons,dragons,republic,road trip,rock,road,trip,mutemath
71	vibin,sampha,work,extra,lil,finest,chill chill,musical,growing,takes
72	chill,bops,autumn,hope,cheers,happy mood,vol,congrats,sound,sleepy
73	chill,nat,celebration,zoom,calm,happening,mellow,rlly,york,birthday
74	chill,high,trippy,sleep,groovy,relax,trip,selection,electro,rehearsal
75	dance,freestyle,free,sex,vids,multiple,se,eras,homesick,fans
76	sad,love,cry,mellow,crying,sadness,chill,calm,mind,sleep
77	sad,soul,emo,hope,calm,colors,bored,story,blue,introspection
78	chill,vibe,mood,love,september,rap,october,idk,mellow,relax
79	sophie,xx,sweet,january,november,girl,adrenaline,bar,homesick,fans
80	sad,chill,indie,calm,love,sleep,relax,slow,rainy,folk
81	pop,love,party,dance,mood,ariana,pumped,clean,ready,popular
82	mat,absolute,dank,weekends,ranch,dom,personal,vids,eras,homesick
83	chill,relax,birthday,vibe,lisa,ma,roll,chill pill,sampha,lungs
84	memes,kids,meme,love,picks,camp,dank,comedy,work,funny
85	indie,alternative,march,rock,sounds,inspired,indie rock,chill,love,drop
86	chill,emotions,calm,style,coffee,coffee shop,soul,car,mind,pretty
87	car,classics,sing,throwback,memories,throw,immediately,bringing,fast,car ride
88	indie,happy,alternative,rock,pop,alt,love,indie pop,windows,upbeat
89	hell yeah,poop,yeah,drink,cream,bangers,nap,mind,beach,hype
90	love,love love,lovey,lovey dovey,dovey,hey man,ton,miles,city,update
91	chill,moment,hope,house,tryna,japanese,fun,tryna chill,alexis,kinda chill
92	smile,life,beautiful,bump,winter,world,dankest,slow,reason,stronger
93	sex,sleep,rain,beauty,rainy,songz,pal,calm,lil,smooth
94	sad,love,cry,feelings,sad sad,slow,depression,heart,mood,emotions
95	face,door,ghost,pissed,front,rage,ugly,hype,idk,screams
96	chill,march,hate,friend,town,happy,mood,sick,prolly,kinda
97	life,love,write,titty,breathing,press,lil bit,english,art,changing
98	dance,work,run,noise,bangers,house,classics,sweat,hard,vegas
99	march,spring,vibing,genre,catchy,vibe,mar,drives,fun,smell
100	love,happy,soundtrack,dude,birthday,derek,heart,soft,indie rock,happy birthday
101	chill,electronic,edm,weird,love,sounds,house,bass,chill edm,deep
102	noise,idk,funeral,fire,weed,lazy,faster,drawing,aesthetic,fun
103	home,version,car,work,training,push,work work,literally,dancing,catchy
104	happy,sad happy,explore,desire,travel,florida,sad,girl,april,sarah
105	chill,remind,russ,inspiring,slow,ca,rainbow,calming,winter,happy
106	listened,seventeen,trip,called,emo,sound,habits,evan,bad,bang
107	wedding,road,home,school,city,party,spirit,south,kate,drop
108	chill,love,school,baby,khalid,idk,main,rap,july,lights
109	october,wave,festivities,urban,floating,spoopy,oct17,spicy,job,frick
110	rap,fire,hype,litty,bangers,party,hip,hop,chill,hip hop
111	chilly,aesthetic,talk,hop,hip,lil bit,mornin,lake,hip hop,field
112	rock,metal,grunge,90s,alternative,heavy,love,classic,cover,guitar
